,Dataset,DetectionMethod,acc_slide_chunk,acc_std_default,ndd_std_default,eddr,TargetDDI
0,elec,ADWIN,0.7395171257062146,0.7919314971751412,46,0.5487729519774012,0.8
1,elec,DDM,0.7395171257062146,0.8217911370056498,117,0.553120586158192,0.8
2,elec,EDDM,0.7395171257062146,0.8268008474576272,115,0.557225459039548,0.8
3,elec,HDDM_A,0.7395171257062146,0.830662959039548,123,0.5532309322033898,0.8
4,elec,HDDM_W,0.7395171257062146,0.827440854519774,99,0.554886122881356,0.8
5,elec,PageHinkley,0.7395171257062146,0.7823093220338984,17,0.5474046610169492,0.8
6,elec,Capsnet,0.7395171257062146,0.7532441737288136,10,0.5469412076271186,0.8
7,weat,ADWIN,0.6872074453439067,0.6952475356572498,8,0.6358279640949391,0.8
8,weat,DDM,0.6872074453439067,0.7033977641940635,3,0.6500908640343631,0.8
9,weat,EDDM,0.6872074453439067,0.7373754061346991,49,0.6786717330249463,0.8
10,weat,HDDM_A,0.6872074453439067,0.7239385428713034,29,0.6658406299906382,0.8
11,weat,HDDM_W,0.6872074453439067,0.7266369293463296,38,0.6703012280411917,0.8
12,weat,PageHinkley,0.6872074453439067,0.6962938487802192,5,0.6288892560163004,0.8
13,weat,Capsnet,0.6872074453439067,0.6976705765735999,5,0.6339556142959414,0.8
14,spam,ADWIN,0.8938223938223938,0.9242814242814242,3,0.7433504933504933,0.8
15,spam,DDM,0.8938223938223938,0.9197769197769198,8,0.743028743028743,0.8
16,spam,EDDM,0.8938223938223938,0.9343629343629344,13,0.7432432432432432,0.8
17,spam,HDDM_A,0.8938223938223938,0.9214929214929215,4,0.7433504933504933,0.8
18,spam,HDDM_W,0.8938223938223938,0.9225654225654225,2,0.7433504933504933,0.8
19,spam,PageHinkley,0.8938223938223938,0.918060918060918,1,0.7433504933504933,0.8
20,spam,Capsnet,0.8938223938223938,0.9174174174174174,3,0.7433504933504933,0.8
21,airl,ADWIN,0.5813345989769793,0.6225687498493649,70,0.36600893984422944,0.8
22,airl,DDM,0.5813345989769793,0.6197358834075231,17,0.3324594953863952,0.8
23,airl,EDDM,0.5813345989769793,0.6157572633916901,178,0.3103527549069956,0.8
24,airl,HDDM_A,0.5813345989769793,0.6263749506380438,122,0.3639491789693038,0.8
25,airl,HDDM_W,0.5813345989769793,0.6157424316302145,617,0.37262390546235236,0.8
26,airl,PageHinkley,0.5813345989769793,0.6282622922858154,63,0.3394044676973505,0.8
27,airl,Capsnet,0.5813345989769793,0.6238554051573743,150,0.3643125571254563,0.8
0,SEAa0,ADWIN,0.8438,0.8472,1,0.608,0.8
1,SEAa0,DDM,0.8438,0.8331,0,0.6084,0.8
2,SEAa0,EDDM,0.8438,0.8442,18,0.6084,0.8
3,SEAa0,HDDM_A,0.8438,0.8611,3,0.6084,0.8
4,SEAa0,HDDM_W,0.8438,0.8588,3,0.6084,0.8
5,SEAa0,PageHinkley,0.8438,0.8559,3,0.6083,0.8
6,SEAa0,Capsnet,0.8438,0.8559,3,0.6084,0.8
7,HYPi,ADWIN,0.8163,0.8685,0,0.5087,0.8
8,HYPi,DDM,0.8163,0.8611,2,0.5088,0.8
9,HYPi,EDDM,0.8163,0.8612,2,0.5088,0.8
10,HYPi,HDDM_A,0.8163,0.8685,0,0.5087,0.8
11,HYPi,HDDM_W,0.8163,0.8645,1,0.5087,0.8
12,HYPi,PageHinkley,0.8163,0.8685,0,0.5087,0.8
13,HYPi,Capsnet,0.8163,0.8485,3,0.5088,0.8
14,AGRa,ADWIN,0.703,0.713,3,0.4888,0.8
15,AGRa,DDM,0.703,0.7129,2,0.492,0.8
16,AGRa,EDDM,0.703,0.651,4,0.4914,0.8
17,AGRa,HDDM_A,0.703,0.7237,2,0.4911,0.8
18,AGRa,HDDM_W,0.703,0.7245,3,0.493,0.8
19,AGRa,PageHinkley,0.703,0.7142,2,0.4924,0.8
20,AGRa,Capsnet,0.703,0.688,3,0.4982,0.8
21,RTGn,ADWIN,0.6456,0.668,0,0.6153,0.8
22,RTGn,DDM,0.6456,0.668,0,0.6153,0.8
23,RTGn,EDDM,0.6456,0.6526,12,0.615,0.8
24,RTGn,HDDM_A,0.6456,0.668,0,0.6153,0.8
25,RTGn,HDDM_W,0.6456,0.6632,2,0.6149,0.8
26,RTGn,PageHinkley,0.6456,0.668,0,0.6153,0.8
27,RTGn,Capsnet,0.6456,0.6658,2,0.6153,0.8
28,RBFi,ADWIN,0.6931,0.715,0,0.4658,0.8
29,RBFi,DDM,0.6931,0.715,0,0.4658,0.8
30,RBFi,EDDM,0.6931,0.6783,29,0.4641,0.8
31,RBFi,HDDM_A,0.6931,0.715,0,0.4658,0.8
32,RBFi,HDDM_W,0.6931,0.6989,3,0.4657,0.8
33,RBFi,PageHinkley,0.6931,0.7152,1,0.4658,0.8
34,RBFi,Capsnet,0.6931,0.7005,3,0.4651,0.8
