,Dataset,DetectionMethod,acc_slide_chunk,acc_std_default,ndd_std_default,eddr,TargetDDI
0,elec,ADWIN,0.739517126,0.791931497,46,0.548772952,0.8
1,elec,DDM,0.739517126,0.821791137,117,0.553120586,0.8
2,elec,EDDM,0.739517126,0.826800847,115,0.557225459,0.8
3,elec,HDDM_A,0.739517126,0.830662959,123,0.553230932,0.8
4,elec,HDDM_W,0.739517126,0.827440855,99,0.554886123,0.8
5,elec,PageHinkley,0.739517126,0.782309322,17,0.547404661,0.8
6,elec,Capsnet,0.739517126,0.753244174,10,0.546941208,0.8
7,weat,ADWIN,0.687207445,0.695247536,8,0.635827964,0.8
8,weat,DDM,0.687207445,0.703397764,3,0.650090864,0.8
9,weat,EDDM,0.687207445,0.737375406,49,0.678671733,0.8
10,weat,HDDM_A,0.687207445,0.723938543,29,0.66584063,0.8
11,weat,HDDM_W,0.687207445,0.726636929,38,0.670301228,0.8
12,weat,PageHinkley,0.687207445,0.696293849,5,0.628889256,0.8
13,weat,Capsnet,0.687207445,0.697670577,5,0.633955614,0.8
14,spam,ADWIN,0.893822394,0.924281424,3,0.743350493,0.8
15,spam,DDM,0.893822394,0.91977692,8,0.743028743,0.8
16,spam,EDDM,0.893822394,0.934362934,13,0.743243243,0.8
17,spam,HDDM_A,0.893822394,0.921492921,4,0.743350493,0.8
18,spam,HDDM_W,0.893822394,0.922565423,2,0.743350493,0.8
19,spam,PageHinkley,0.893822394,0.918060918,1,0.743350493,0.8
20,spam,Capsnet,0.893822394,0.917417417,3,0.743350493,0.8
21,airl,ADWIN,0.581334599,0.62256875,70,0.36600894,0.8
22,airl,DDM,0.581334599,0.619735883,17,0.332459495,0.8
23,airl,EDDM,0.581334599,0.615757263,178,0.310352755,0.8
24,airl,HDDM_A,0.581334599,0.626374951,122,0.363949179,0.8
25,airl,HDDM_W,0.581334599,0.615742432,617,0.372623905,0.8
26,airl,PageHinkley,0.581334599,0.628262292,63,0.339404468,0.8
27,airl,Capsnet,0.581334599,0.623855405,150,0.364312557,0.8
28,SEAa0,ADWIN,0.8438,0.8472,1,0.608,0.8
29,SEAa0,DDM,0.8438,0.8331,0,0.6084,0.8
30,SEAa0,EDDM,0.8438,0.8442,18,0.6084,0.8
31,SEAa0,HDDM_A,0.8438,0.8611,3,0.6084,0.8
32,SEAa0,HDDM_W,0.8438,0.8588,3,0.6084,0.8
33,SEAa0,PageHinkley,0.8438,0.8559,3,0.6083,0.8
34,SEAa0,Capsnet,0.8438,0.8559,3,0.6084,0.8
35,HYPi,ADWIN,0.8163,0.8685,0,0.5087,0.8
36,HYPi,DDM,0.8163,0.8611,2,0.5088,0.8
37,HYPi,EDDM,0.8163,0.8612,2,0.5088,0.8
38,HYPi,HDDM_A,0.8163,0.8685,0,0.5087,0.8
39,HYPi,HDDM_W,0.8163,0.8645,1,0.5087,0.8
40,HYPi,PageHinkley,0.8163,0.8685,0,0.5087,0.8
41,HYPi,Capsnet,0.8163,0.8485,3,0.5088,0.8
42,AGRa,ADWIN,0.703,0.713,3,0.4888,0.8
43,AGRa,DDM,0.703,0.7129,2,0.492,0.8
44,AGRa,EDDM,0.703,0.651,4,0.4914,0.8
45,AGRa,HDDM_A,0.703,0.7237,2,0.4911,0.8
46,AGRa,HDDM_W,0.703,0.7245,3,0.493,0.8
47,AGRa,PageHinkley,0.703,0.7142,2,0.4924,0.8
48,AGRa,Capsnet,0.703,0.688,3,0.4982,0.8
49,RTGn,ADWIN,0.6456,0.668,0,0.6153,0.8
50,RTGn,DDM,0.6456,0.668,0,0.6153,0.8
51,RTGn,EDDM,0.6456,0.6526,12,0.615,0.8
52,RTGn,HDDM_A,0.6456,0.668,0,0.6153,0.8
53,RTGn,HDDM_W,0.6456,0.6632,2,0.6149,0.8
54,RTGn,PageHinkley,0.6456,0.668,0,0.6153,0.8
55,RTGn,Capsnet,0.6456,0.6658,2,0.6153,0.8
56,RBFi,ADWIN,0.6931,0.715,0,0.4658,0.8
57,RBFi,DDM,0.6931,0.715,0,0.4658,0.8
58,RBFi,EDDM,0.6931,0.6783,29,0.4641,0.8
59,RBFi,HDDM_A,0.6931,0.715,0,0.4658,0.8
60,RBFi,HDDM_W,0.6931,0.6989,3,0.4657,0.8
61,RBFi,PageHinkley,0.6931,0.7152,1,0.4658,0.8
62,RBFi,Capsnet,0.6931,0.7005,3,0.4651,0.8
0,elec,HANG,0.739517126,0.748079979,6,0.550803319,0.8
1,weat,HANG,0.687207445,0.677074729,2,0.613690181,0.8
2,spam,HANG,0.893822394,0.913020163,1,0.743350493,0.8
3,airl,HANG,0.581334599,0.624739749,74,0.337187119,0.8
4,SEAa0,HANG,0.8438,0.8359,1,0.6084,0.8
5,HYPi,HANG,0.8163,0.8639,1,0.5087,0.8
6,AGRa,HANG,0.703,0.6289,0,0.4992,0.8
7,RTGn,HANG,0.6456,0.669,1,0.6153,0.8
8,RBFi,HANG,0.6931,0.7103,1,0.4659,0.8
