,0
0,0.68
1,0.6
2,0.72
3,0.72
4,0.68
5,0.48
6,0.64
7,0.52
8,0.68
9,0.8
10,0.6
11,0.68
12,0.72
13,0.64
14,0.68
15,0.56
16,0.68
17,0.64
18,0.88
19,0.72
20,0.76
21,0.76
22,0.64
23,0.56
24,0.72
25,0.84
26,0.56
27,0.68
28,0.68
29,0.76
30,0.64
31,0.68
32,0.76
33,0.64
34,0.68
35,0.64
36,0.76
37,0.72
38,0.96
39,0.76
40,0.76
41,0.8
42,0.76
43,0.76
44,0.8
45,0.68
46,0.84
47,0.84
48,0.88
49,0.64
50,0.68
51,0.6
52,0.52
53,0.4
54,0.36
55,0.44
56,0.48
57,0.44
58,0.56
59,0.48
60,0.32
61,0.48
62,0.6
63,0.44
64,0.48
65,0.36
66,0.48
67,0.32
68,0.44
69,0.48
70,0.52
71,0.36
72,0.56
73,0.52
74,0.52
75,0.48
76,0.6
77,0.44
78,0.56
79,0.36
80,0.6
81,0.4
82,0.4
83,0.44
84,0.6
85,0.52
86,0.32
87,0.52
88,0.44
89,0.52
90,0.56
91,0.36
92,0.68
93,0.48
94,0.48
95,0.56
96,0.64
97,0.56
98,0.56
99,0.64
100,0.56
