,0
0,0.6
1,0.64
2,0.68
3,0.64
4,0.6
5,0.68
6,0.96
7,0.64
8,0.6
9,0.68
10,0.64
11,0.68
12,0.76
13,0.8
14,0.64
15,0.56
16,0.64
17,0.76
18,0.52
19,0.6
20,0.72
21,0.72
22,0.56
23,0.68
24,0.76
25,0.64
26,0.84
27,0.6
28,0.88
29,0.68
30,0.64
31,0.8
32,0.88
33,0.56
34,0.88
35,0.6
36,0.68
37,0.76
38,0.56
39,0.76
40,0.68
41,0.72
42,0.56
43,0.76
44,0.68
45,0.72
46,0.6
47,0.6
48,0.6
49,0.64
50,0.64
51,0.72
52,0.72
53,0.72
54,0.64
55,0.8
56,0.76
57,0.72
58,0.56
59,0.64
60,0.88
61,0.6
62,0.64
63,0.8
64,0.72
65,0.56
66,0.76
67,0.64
68,0.6
69,0.72
70,0.8
71,0.52
72,0.6
73,0.6
74,0.68
75,0.76
76,0.8
77,0.88
78,0.56
79,0.68
80,0.64
81,0.56
82,0.52
83,0.76
84,0.84
85,0.84
86,0.8
87,0.56
88,0.76
89,0.72
90,0.68
91,0.68
92,0.72
93,0.72
94,0.76
95,0.88
96,0.76
97,0.68
98,0.8
99,0.52
100,0.72
