,0
0,0.6
1,0.68
2,0.6
3,0.72
4,0.56
5,0.68
6,0.72
7,0.84
8,0.64
9,0.88
10,0.76
11,0.68
12,0.92
13,0.84
14,0.68
15,0.72
16,0.84
17,0.6
18,0.8
19,0.64
20,0.68
21,0.8
22,0.68
23,0.52
24,0.76
25,0.72
26,0.88
27,0.72
28,0.68
29,0.72
30,0.64
31,0.68
32,0.84
33,0.64
34,0.64
35,0.68
36,0.68
37,0.68
38,0.6
39,0.64
40,0.56
41,0.72
42,0.72
43,0.68
44,0.56
45,0.64
46,0.56
47,0.6
48,0.8
49,0.56
50,0.76
51,0.64
52,0.84
53,0.68
54,0.64
55,0.44
56,0.72
57,0.88
58,0.56
59,0.6
60,0.52
61,0.68
62,0.72
63,0.68
64,0.84
65,0.76
66,0.76
67,0.52
68,0.8
69,0.76
70,0.6
71,0.6
72,0.6
73,0.72
74,0.68
75,0.72
76,0.64
77,0.6
78,0.52
79,0.8
80,0.68
81,0.56
82,0.72
83,0.8
84,0.6
85,0.84
86,0.6
87,0.64
88,0.72
89,0.6
90,0.52
91,0.72
92,0.8
93,0.6
94,0.76
95,0.48
96,0.8
97,0.68
98,0.68
99,0.68
100,0.76
