,0
0,0.68
1,0.6
2,0.88
3,0.68
4,0.88
5,0.68
6,0.76
7,0.76
8,0.92
9,0.64
10,0.76
11,0.88
12,0.92
13,0.84
14,0.72
15,0.8
16,0.76
17,0.84
18,0.84
19,0.84
20,0.72
21,0.84
22,0.8
23,0.68
24,0.72
25,0.72
26,0.6
27,0.8
28,0.88
29,0.84
30,0.84
31,0.8
32,0.68
33,0.92
34,0.72
35,0.72
36,0.64
37,0.8
38,0.68
39,0.68
40,0.84
41,0.8
42,0.84
43,0.76
44,0.68
45,0.8
46,0.8
47,0.6
48,0.52
49,0.68
50,0.64
51,0.64
52,0.84
53,0.72
54,0.8
55,0.64
56,0.72
57,0.76
58,0.88
59,0.8
60,0.88
61,0.88
62,0.92
63,0.72
64,0.64
65,0.88
66,0.88
67,0.84
68,0.84
69,0.88
70,0.84
71,0.88
72,0.72
73,0.76
74,0.8
75,0.88
76,0.52
77,0.72
78,0.92
79,0.92
80,0.84
81,0.84
82,0.88
83,0.84
84,0.8
85,0.72
86,0.88
87,0.72
88,0.8
89,0.76
90,0.84
91,0.68
92,0.84
93,0.88
94,0.56
95,0.72
96,0.68
97,0.76
98,0.68
99,0.72
100,0.6
