,0
0,0.76
1,0.76
2,0.72
3,0.84
4,0.88
5,0.52
6,0.88
7,0.84
8,0.88
9,0.88
10,0.68
11,0.84
12,0.96
13,0.84
14,1.0
15,0.92
16,0.88
17,0.8
18,0.92
19,0.96
20,0.8
21,0.92
22,0.84
23,0.88
24,0.84
25,0.92
26,0.92
27,0.84
28,0.92
29,0.92
30,0.84
31,0.92
32,0.84
33,0.88
34,0.88
35,1.0
36,0.8
37,0.92
38,0.88
39,0.76
40,0.68
41,0.92
42,0.88
43,0.96
44,0.88
45,0.88
46,0.96
47,0.88
48,0.96
49,0.76
50,0.92
51,0.92
52,0.96
53,0.76
54,0.84
55,0.96
56,0.92
57,0.92
58,0.84
59,0.84
60,0.96
61,0.76
62,0.84
63,1.0
64,0.88
65,0.88
66,0.76
67,0.92
68,0.92
69,0.88
70,0.96
71,0.8
72,0.88
73,0.92
74,0.88
75,0.92
76,0.96
77,0.96
78,0.92
79,0.72
80,0.96
81,1.0
82,0.96
83,0.92
84,0.92
85,0.92
86,0.84
87,0.96
88,0.92
89,0.96
90,0.92
91,0.92
92,0.92
93,1.0
94,0.84
95,0.88
96,0.92
97,0.92
98,0.88
99,0.72
100,0.88
