,0
0,0.6
1,0.84
2,0.8
3,0.92
4,0.88
5,0.88
6,0.96
7,0.92
8,0.84
9,0.8
10,0.88
11,0.92
12,0.88
13,0.84
14,0.92
15,0.8
16,0.96
17,0.92
18,0.76
19,0.8
20,0.92
21,0.84
22,0.92
23,0.92
24,0.84
25,1.0
26,0.88
27,0.92
28,0.96
29,0.92
30,0.96
31,0.84
32,0.88
33,0.96
34,0.84
35,0.84
36,0.92
37,0.92
38,0.96
39,0.96
40,0.96
41,0.84
42,0.92
43,0.96
44,0.88
45,0.92
46,1.0
47,0.96
48,0.88
49,0.88
50,0.88
51,0.92
52,0.88
53,0.88
54,0.96
55,0.88
56,0.92
57,0.92
58,0.96
59,0.92
60,0.92
61,0.92
62,0.88
63,0.96
64,0.96
65,0.88
66,0.92
67,0.92
68,0.88
69,0.88
70,0.92
71,0.96
72,0.92
73,0.92
74,0.92
75,0.92
76,0.88
77,0.88
78,0.84
79,0.88
80,0.88
81,0.92
82,0.96
83,0.96
84,0.92
85,0.92
86,0.92
87,0.92
88,0.96
89,0.96
90,0.92
91,0.92
92,1.0
93,0.96
94,0.96
95,0.88
96,0.88
97,0.96
98,0.92
99,0.92
100,0.96
